split,threshold,condition,bin,n,accuracy,MCC,F1_weighted,precision_weighted,recall_weighted
70,0.733,all,30-40%,1256,0.5764331210191083,0.5531687287551097,0.5566215351697512,0.6153501663452278,0.5764331210191083
70,0.733,all,40-50%,6945,0.8826493880489561,0.8759678633616326,0.8796283771408214,0.8907978913913293,0.8826493880489561
70,0.733,all,50-60%,39000,0.971,0.9689515195758263,0.9709539511186148,0.9719913998378931,0.971
70,0.733,all,60-70%,99219,0.9873411342585593,0.9860563083542447,0.9871487931003933,0.9874321102583015,0.9873411342585593
70,0.733,all,70-80%,162,0.845679012345679,0.8311918655336551,0.8476251133720486,0.8962196949364825,0.845679012345679
70,0.733,all,80-90%,4,1.0,1.0,1.0,1.0,1.0
70,0.733,all,90-100%,1,1.0,,1.0,1.0,1.0
70,0.733,above_threshold,0-10%,1,0.0,,0.0,0.0,0.0
70,0.733,above_threshold,10-20%,8,0.125,0.09435641951204965,0.125,0.125,0.125
70,0.733,above_threshold,20-30%,38,0.631578947368421,0.6150386010001881,0.6240183792815371,0.6960526315789474,0.631578947368421
70,0.733,above_threshold,30-40%,665,0.8932330827067669,0.8879149191811653,0.8711031752829771,0.9198699815532017,0.8932330827067669
70,0.733,above_threshold,40-50%,5724,0.9694269741439553,0.9675726394448826,0.9647606064665544,0.9728501772440854,0.9694269741439553
70,0.733,above_threshold,50-60%,36942,0.9939093714471333,0.9934550085236253,0.9938832805417855,0.9940803253542762,0.9939093714471333
70,0.733,above_threshold,60-70%,96476,0.9969526099755379,0.9966305998571422,0.9969375711195103,0.9969721241136865,0.9969526099755379
70,0.733,above_threshold,70-80%,121,0.9669421487603306,0.9626095986369164,0.9669611879268252,0.969185360094451,0.9669421487603306
70,0.733,above_threshold,80-90%,2,1.0,1.0,1.0,1.0,1.0
70,0.733,above_threshold,90-100%,1,1.0,,1.0,1.0,1.0
70,0.733,below_threshold,10-20%,76,0.10526315789473684,0.0020341091481237282,0.07989936080511355,0.0769736842105263,0.10526315789473684
70,0.733,below_threshold,20-30%,504,0.15476190476190477,0.06555647742402244,0.13741746123764792,0.14812271475316088,0.15476190476190477
70,0.733,below_threshold,30-40%,591,0.21996615905245348,0.16922035857847637,0.21537480046444155,0.2987500052512642,0.21996615905245348
